state,date,population,metodology,count,rate
TLAXCALA,1997-11,961791,vieja,1,1.247672311
VERACRUZ,1997-11,7147556,vieja,66,11.08071067
QUINTANA ROO,1997-11,840640,vieja,43,61.38180434
SAN LUIS POTOSÍ,1997-11,2359113,vieja,21,10.6819809
SINALOA,1997-11,2463786,vieja,48,23.37865383
SONORA,1997-11,2178417,vieja,55,30.29722959
AGUASCALIENTES,1997-11,964733,vieja,0,0
BAJA CALIFORNIA,1997-11,2340268,vieja,47,24.09980395
BAJA CALIFORNIA SUR,1997-11,432177,vieja,8,22.21312101
CAMPECHE,1997-11,665357,vieja,7,12.62480142
YUCATÁN,1997-11,1653141,vieja,2,1.45178179
ZACATECAS,1997-11,1427165,vieja,8,6.72662236
JALISCO,1997-12,6369852,vieja,81,15.25938122
MÉXICO,1997-12,12289466,vieja,223,21.77474595
MICHOACÁN,1997-12,4156338,vieja,81,23.38597102
MORELOS,1997-12,1558634,vieja,18,13.85828873
CIUDAD DE MÉXICO,1997-12,8904064,vieja,92,12.39883271
DURANGO,1997-12,1477610,vieja,9,7.309100507
GUANAJUATO,1997-12,5054560,vieja,73,17.33088538
GUERRERO,1997-12,3196368,vieja,114,42.79857638
HIDALGO,1997-12,2351497,vieja,32,16.33002296
COAHUILA,1997-12,2295840,vieja,13,6.794898599
COLIMA,1997-12,535262,vieja,6,13.45135653
CHIAPAS,1997-12,3950814,vieja,144,43.73782213
CHIHUAHUA,1997-12,2839556,vieja,56,23.66567168
NAYARIT,1997-12,921764,vieja,21,27.33888501
NUEVO LEÓN,1997-12,3770918,vieja,10,3.182248991
OAXACA,1997-12,3609795,vieja,3,0.99728655
PUEBLA,1997-12,5077647,vieja,57,13.47080646
QUERÉTARO,1997-12,1480321,vieja,60,48.63809944
TABASCO,1997-12,1898572,vieja,36,22.75394349
TAMAULIPAS,1997-12,2643636,vieja,41,18.61073158
TLAXCALA,1997-12,963404,vieja,3,3.736750107
VERACRUZ,1997-12,7151310,vieja,62,10.40368828
QUINTANA ROO,1997-12,843751,vieja,41,58.311042
SAN LUIS POTOSÍ,1997-12,2360336,vieja,47,23.8949031
SINALOA,1997-12,2466280,vieja,72,35.03251861
SONORA,1997-12,2182008,vieja,58,31.89722494
AGUASCALIENTES,1997-12,966192,vieja,2,2.48397834
BAJA CALIFORNIA,1997-12,2347037,vieja,28,14.31592259
BAJA CALIFORNIA SUR,1997-12,433282,vieja,21,58.16073596
CAMPECHE,1997-12,666544,vieja,9,16.20298135
YUCATÁN,1997-12,1655361,vieja,6,4.349504428
ZACATECAS,1997-12,1426990,vieja,12,10.09117093
MÉXICO,1998-01,12311902,vieja,228,22.22239911
MICHOACÁN,1998-01,4156969,vieja,103,29.73320224
MORELOS,1998-01,1559913,vieja,9,6.923463039
NAYARIT,1998-01,922343,vieja,17,22.11758532
DURANGO,1998-01,1478385,vieja,15,12.17544821
GUANAJUATO,1998-01,5057942,vieja,40,9.490025785
GUERRERO,1998-01,3197690,vieja,92,34.52492268
HIDALGO,1998-01,2352840,vieja,21,10.71046055
JALISCO,1998-01,6375112,vieja,52,9.788063331
COLIMA,1998-01,535812,vieja,8,17.91673199
CHIAPAS,1998-01,3958065,vieja,197,59.72615407
CHIHUAHUA,1998-01,2844354,vieja,23,9.703433539
CIUDAD DE MÉXICO,1998-01,8905539,vieja,61,8.219603552
NUEVO LEÓN,1998-01,3776883,vieja,13,4.13039006
OAXACA,1998-01,3612075,vieja,2,0.664438031
PUEBLA,1998-01,5083572,vieja,63,14.87143292
QUERÉTARO,1998-01,1482836,vieja,4,3.237040374
TAMAULIPAS,1998-01,2648321,vieja,33,14.95287014
TLAXCALA,1998-01,965017,vieja,2,2.48700282
VERACRUZ,1998-01,7155064,vieja,66,11.06908338
YUCATÁN,1998-01,1657581,vieja,2,1.447893044
QUINTANA ROO,1998-01,846862,vieja,8,11.33596737
SAN LUIS POTOSÍ,1998-01,2361560,vieja,23,11.68718982
SINALOA,1998-01,2468775,vieja,58,28.19211957
SONORA,1998-01,2185600,vieja,37,20.3147877
TABASCO,1998-01,1901242,vieja,39,24.61548819
AGUASCALIENTES,1998-01,967650,vieja,4,4.960471245
BAJA CALIFORNIA,1998-01,2353806,vieja,23,11.72569022
BAJA CALIFORNIA SUR,1998-01,434387,vieja,2,5.525027222
CAMPECHE,1998-01,667732,vieja,8,14.37702551
COAHUILA,1998-01,2299102,vieja,10,5.219429151
ZACATECAS,1998-01,1426816,vieja,51,42.89270656
JALISCO,1998-02,6380372,vieja,28,5.266150626
MÉXICO,1998-02,12334337,vieja,229,22.27926803
MICHOACÁN,1998-02,4157599,vieja,86,24.82201867
MORELOS,1998-02,1561192,vieja,6,4.611860681
NAYARIT,1998-02,922922,vieja,10,13.0021822
DURANGO,1998-02,1479160,vieja,8,6.490170097
GUANAJUATO,1998-02,5061323,vieja,22,5.216027509
GUERRERO,1998-02,3199013,vieja,123,46.13923107
HIDALGO,1998-02,2354184,vieja,29,14.78219205
COLIMA,1998-02,536362,vieja,7,15.66106473
CHIAPAS,1998-02,3965317,vieja,173,52.35394799
CHIHUAHUA,1998-02,2849152,vieja,21,8.84473696
CIUDAD DE MÉXICO,1998-02,8907014,vieja,75,10.10439638
NUEVO LEÓN,1998-02,3782848,vieja,14,4.441098347
OAXACA,1998-02,3614356,vieja,1,0.332009354
PUEBLA,1998-02,5089497,vieja,43,10.13852646
QUERÉTARO,1998-02,1485350,vieja,3,2.423671189
TAMAULIPAS,1998-02,2653005,vieja,29,13.11720106
TLAXCALA,1998-02,966631,vieja,1,1.241425115
VERACRUZ,1998-02,7158818,vieja,43,7.207893817
YUCATÁN,1998-02,1659801,vieja,2,1.445956473
QUINTANA ROO,1998-02,849973,vieja,10,14.11809552
SAN LUIS POTOSÍ,1998-02,2362784,vieja,21,10.66538456
SINALOA,1998-02,2471270,vieja,57,27.67807645
SONORA,1998-02,2189191,vieja,39,21.37776009
TABASCO,1998-02,1903912,vieja,29,18.27815571
AGUASCALIENTES,1998-02,969108,vieja,8,9.906016667
BAJA CALIFORNIA,1998-02,2360575,vieja,22,11.18371583
BAJA CALIFORNIA SUR,1998-02,435492,vieja,2,5.511008239
CAMPECHE,1998-02,668920,vieja,10,17.93936495
COAHUILA,1998-02,2302364,vieja,8,4.169627392
ZACATECAS,1998-02,1426641,vieja,30,25.23409884
JALISCO,1998-03,6385632,vieja,43,8.080641039
MÉXICO,1998-03,12356772,vieja,266,25.83198913
MICHOACÁN,1998-03,4158230,vieja,117,33.76436609
MORELOS,1998-03,1562470,vieja,21,16.12830966
NAYARIT,1998-03,923502,vieja,12,15.59281951
DURANGO,1998-03,1479934,vieja,10,8.108469702
GUANAJUATO,1998-03,5064705,vieja,16,3.790941427
GUERRERO,1998-03,3200336,vieja,144,53.9943306
HIDALGO,1998-03,2355528,vieja,33,16.81151742
COLIMA,1998-03,536911,vieja,5,11.17503646
CHIAPAS,1998-03,3972569,vieja,203,61.3205208
