state,date,population,metodology,count,rate
OAXACA,2011-10,3911224,vieja,59,18.10175024
PUEBLA,2011-10,5957396,vieja,58,11.68295678
QUERÉTARO,2011-10,1891671,vieja,3,1.903079341
TABASCO,2011-10,2291784,vieja,14,7.330533768
TAMAULIPAS,2011-10,3390789,vieja,83,29.37369444
TLAXCALA,2011-10,1212406,vieja,5,4.948837271
VERACRUZ,2011-10,7814069,vieja,97,14.89620836
QUINTANA ROO,2011-10,1410276,vieja,27,22.97422632
SAN LUIS POTOSÍ,2011-10,2656817,vieja,39,17.61506344
SINALOA,2011-10,2887600,vieja,109,45.29713257
SONORA,2011-10,2781511,vieja,48,20.70816905
AGUASCALIENTES,2011-10,1221370,vieja,8,7.860026036
BAJA CALIFORNIA,2011-10,3293140,vieja,59,21.49923781
BAJA CALIFORNIA SUR,2011-10,680258,vieja,3,5.292109758
CAMPECHE,2011-10,857040,vieja,2,2.80033604
YUCATÁN,2011-10,2018338,vieja,2,1.189097168
ZACATECAS,2011-10,1527385,vieja,12,9.427878367
JALISCO,2011-11,7585283,vieja,117,18.50952694
MÉXICO,2011-11,15954278,vieja,141,10.60530599
MICHOACÁN,2011-11,4473362,vieja,62,16.63178612
MORELOS,2011-11,1837031,vieja,48,31.35494175
CIUDAD DE MÉXICO,2011-11,8921427,vieja,59,7.935950157
DURANGO,2011-11,1698469,vieja,63,44.51067402
GUANAJUATO,2011-11,5636983,vieja,51,10.85687149
GUERRERO,2011-11,3484309,vieja,121,41.67253823
HIDALGO,2011-11,2746571,vieja,6,2.621450529
COAHUILA,2011-11,2833184,vieja,35,14.82431074
COLIMA,2011-11,677734,vieja,11,19.47666784
CHIAPAS,2011-11,5009773,vieja,59,14.13237686
CHIHUAHUA,2011-11,3575725,vieja,222,74.50237364
NAYARIT,2011-11,1141895,vieja,28,29.42477198
NUEVO LEÓN,2011-11,4827088,vieja,139,34.55499465
OAXACA,2011-11,3913675,vieja,44,13.49115601
PUEBLA,2011-11,5962992,vieja,66,13.2819229
QUERÉTARO,2011-11,1894312,vieja,6,3.800852236
TABASCO,2011-11,2293945,vieja,16,8.369860655
TAMAULIPAS,2011-11,3394358,vieja,65,22.97930861
TLAXCALA,2011-11,1213935,vieja,6,5.931124813
VERACRUZ,2011-11,7819636,vieja,87,13.35100509
QUINTANA ROO,2011-11,1414006,vieja,34,28.85419157
SAN LUIS POTOSÍ,2011-11,2659129,vieja,10,4.512755869
SINALOA,2011-11,2889869,vieja,110,45.67681096
SONORA,2011-11,2785048,vieja,33,14.21878546
AGUASCALIENTES,2011-11,1222939,vieja,3,2.943728183
BAJA CALIFORNIA,2011-11,3297576,vieja,52,18.92299071
BAJA CALIFORNIA SUR,2011-11,682152,vieja,4,7.036554903
CAMPECHE,2011-11,858207,vieja,0,0
YUCATÁN,2011-11,2020632,vieja,5,2.969368
ZACATECAS,2011-11,1528546,vieja,5,3.925298944
JALISCO,2011-12,7593692,vieja,112,17.69890061
MÉXICO,2011-12,15976022,vieja,97,7.28591886
MICHOACÁN,2011-12,4476415,vieja,54,14.47586964
MORELOS,2011-12,1839000,vieja,57,37.19412724
CIUDAD DE MÉXICO,2011-12,8920032,vieja,61,8.206248587
DURANGO,2011-12,1700080,vieja,54,38.11585337
GUANAJUATO,2011-12,5641440,vieja,50,10.6355824
GUERRERO,2011-12,3486480,vieja,134,46.12101604
HIDALGO,2011-12,2749772,vieja,2,0.872799636
COAHUILA,2011-12,2836206,vieja,79,33.42493458
COLIMA,2011-12,678828,vieja,13,22.98078453
CHIAPAS,2011-12,5015600,vieja,59,14.11595821
CHIHUAHUA,2011-12,3579020,vieja,235,78.79251862
NAYARIT,2011-12,1143832,vieja,33,34.62046874
NUEVO LEÓN,2011-12,4833054,vieja,135,33.51917856
OAXACA,2011-12,3916126,vieja,57,17.46624087
PUEBLA,2011-12,5968588,vieja,56,11.25894433
TABASCO,2011-12,2296106,vieja,11,5.748863511
TAMAULIPAS,2011-12,3397926,vieja,59,20.83623952
TLAXCALA,2011-12,1215464,vieja,7,6.910941007
VERACRUZ,2011-12,7825202,vieja,83,12.72810593
QUERÉTARO,2011-12,1896954,vieja,14,8.856303316
QUINTANA ROO,2011-12,1417736,vieja,23,19.46765829
SAN LUIS POTOSÍ,2011-12,2661440,vieja,21,9.468558374
SINALOA,2011-12,2892138,vieja,105,43.56638584
SONORA,2011-12,2788585,vieja,34,14.63107633
AGUASCALIENTES,2011-12,1224508,vieja,2,1.959970862
BAJA CALIFORNIA,2011-12,3302011,vieja,42,15.26342583
BAJA CALIFORNIA SUR,2011-12,684046,vieja,1,1.754267988
CAMPECHE,2011-12,859374,vieja,4,5.585461045
YUCATÁN,2011-12,2022927,vieja,2,1.186399707
ZACATECAS,2011-12,1529708,vieja,6,4.70678064
JALISCO,2012-01,7602102,vieja,86,13.57519276
MÉXICO,2012-01,15997765,vieja,200,15.00209561
MICHOACÁN,2012-01,4479468,vieja,55,14.73389251
MORELOS,2012-01,1840968,vieja,52,33.89521165
NAYARIT,2012-01,1145768,vieja,23,24.08864622
DURANGO,2012-01,1701690,vieja,57,40.19533523
GUANAJUATO,2012-01,5645896,vieja,39,8.289206886
GUERRERO,2012-01,3488652,vieja,153,52.62777715
HIDALGO,2012-01,2752972,vieja,2,0.871785111
COLIMA,2012-01,679923,vieja,20,35.29811464
CHIAPAS,2012-01,5021428,vieja,47,11.23186472
CHIHUAHUA,2012-01,3582315,vieja,195,65.32088887
CIUDAD DE MÉXICO,2012-01,8918638,vieja,54,7.265683392
NUEVO LEÓN,2012-01,4839019,vieja,149,36.94963793
OAXACA,2012-01,3918577,vieja,59,18.06778328
PUEBLA,2012-01,5974183,vieja,55,11.0475357
QUERÉTARO,2012-01,1899596,vieja,7,4.421992887
TAMAULIPAS,2012-01,3401495,vieja,83,29.28124251
TLAXCALA,2012-01,1216993,vieja,1,0.986036896
VERACRUZ,2012-01,7830769,vieja,70,10.72691584
YUCATÁN,2012-01,2025222,vieja,3,1.777582902
QUINTANA ROO,2012-01,1421466,vieja,26,21.94917079
SAN LUIS POTOSÍ,2012-01,2663752,vieja,24,10.81181732
SINALOA,2012-01,2894406,vieja,85,35.24039129
SONORA,2012-01,2792122,vieja,43,18.48056783
TABASCO,2012-01,2298266,vieja,15,7.831991597
AGUASCALIENTES,2012-01,1226076,vieja,2,1.957464301
BAJA CALIFORNIA,2012-01,3306446,vieja,62,22.50150161
BAJA CALIFORNIA SUR,2012-01,685939,vieja,5,8.747133491
CAMPECHE,2012-01,860541,vieja,6,8.366829704
COAHUILA,2012-01,2839227,vieja,55,23.24576372
ZACATECAS,2012-01,1530869,vieja,17,13.32576465
JALISCO,2012-02,7610512,vieja,101,15.92534116
MÉXICO,2012-02,16019509,vieja,147,11.01157345
MICHOACÁN,2012-02,4482520,vieja,45,12.04679511
MORELOS,2012-02,1842937,vieja,47,30.60332502
NAYARIT,2012-02,1147704,vieja,21,21.95688087
DURANGO,2012-02,1703300,vieja,63,44.38443022
GUANAJUATO,2012-02,5650353,vieja,47,9.981677251
GUERRERO,2012-02,3490823,vieja,139,47.78242838
HIDALGO,2012-02,2756172,vieja,6,2.612318825
COLIMA,2012-02,681017,vieja,22,38.76555211
CHIAPAS,2012-02,5027256,vieja,31,7.399662957
CHIHUAHUA,2012-02,3585611,vieja,187,62.58347601
CIUDAD DE MÉXICO,2012-02,8917243,vieja,77,10.36194707
NUEVO LEÓN,2012-02,4844984,vieja,196,48.54505195
OAXACA,2012-02,3921028,vieja,33,10.0993923
PUEBLA,2012-02,5979779,vieja,44,8.829757755
QUERÉTARO,2012-02,1902237,vieja,6,3.785017324
TAMAULIPAS,2012-02,3405064,vieja,59,20.79256073
TLAXCALA,2012-02,1218522,vieja,4,3.939198472
VERACRUZ,2012-02,7836336,vieja,87,13.32255278
YUCATÁN,2012-02,2027516,vieja,2,1.183714457
QUINTANA ROO,2012-02,1425196,vieja,23,19.36575741
SAN LUIS POTOSÍ,2012-02,2666064,vieja,14,6.301424122
SINALOA,2012-02,2896675,vieja,96,39.76973599
SONORA,2012-02,2795659,vieja,33,14.16481767
TABASCO,2012-02,2300427,vieja,5,2.608211432
AGUASCALIENTES,2012-02,1227645,vieja,5,4.887406376
BAJA CALIFORNIA,2012-02,3310882,vieja,47,17.03473576
BAJA CALIFORNIA SUR,2012-02,687833,vieja,2,3.48921904
CAMPECHE,2012-02,861708,vieja,4,5.57033241
COAHUILA,2012-02,2842248,vieja,54,22.79885499
ZACATECAS,2012-02,1532030,vieja,7,5.482921353
JALISCO,2012-03,7618922,vieja,95,14.9627467
MÉXICO,2012-03,16041253,vieja,173,12.94163243
MICHOACÁN,2012-03,4485572,vieja,62,16.58651338
MORELOS,2012-03,1844906,vieja,59,38.37593894
NAYARIT,2012-03,1149640,vieja,26,27.13893045
DURANGO,2012-03,1704910,vieja,58,40.82326926
GUANAJUATO,2012-03,5654810,vieja,57,12.09589712
GUERRERO,2012-03,3492994,vieja,186,63.89933679
HIDALGO,2012-03,2759372,vieja,5,2.1744078
COAHUILA,2012-03,2845270,vieja,50,21.08762964
COLIMA,2012-03,682111,vieja,19,33.4256448
CHIAPAS,2012-03,5033084,vieja,50,11.92112033
CHIHUAHUA,2012-03,3588906,vieja,210,70.21638349
CIUDAD DE MÉXICO,2012-03,8915849,vieja,62,8.34469045
NUEVO LEÓN,2012-03,4850949,vieja,171,42.30100131
OAXACA,2012-03,3923480,vieja,46,14.0691427
PUEBLA,2012-03,5985374,vieja,40,8.019548987
QUERÉTARO,2012-03,1904878,vieja,3,1.889884812
TAMAULIPAS,2012-03,3408632,vieja,97,34.14859686
TLAXCALA,2012-03,1220050,vieja,7,6.884963731
VERACRUZ,2012-03,7841903,vieja,68,10.40563751
YUCATÁN,2012-03,2029810,vieja,3,1.773565013
QUINTANA ROO,2012-03,1428926,vieja,16,13.43666502
SAN LUIS POTOSÍ,2012-03,2668376,vieja,22,9.893658165
SINALOA,2012-03,2898944,vieja,102,42.22227128
SONORA,2012-03,2799196,vieja,31,13.28953028
TABASCO,2012-03,2302588,vieja,14,7.296138085
AGUASCALIENTES,2012-03,1229214,vieja,6,5.857401559
BAJA CALIFORNIA,2012-03,3315317,vieja,37,13.3923845
BAJA CALIFORNIA SUR,2012-03,689727,vieja,5,8.699093989
CAMPECHE,2012-03,862874,vieja,4,5.56280523
ZACATECAS,2012-03,1533191,vieja,10,7.826813489
JALISCO,2012-04,7627332,vieja,109,17.14885362
MÉXICO,2012-04,16062997,vieja,168,12.55058443
MICHOACÁN,2012-04,4488625,vieja,73,19.51599877
MORELOS,2012-04,1846874,vieja,72,46.78175122
NAYARIT,2012-04,1151576,vieja,23,23.96715458
DURANGO,2012-04,1706520,vieja,55,38.67519865
GUANAJUATO,2012-04,5659267,vieja,60,12.72249569
GUERRERO,2012-04,3495165,vieja,198,67.97962328
HIDALGO,2012-04,2762572,vieja,8,3.475022551
COAHUILA,2012-04,2848291,vieja,55,23.17178968
COLIMA,2012-04,683206,vieja,15,26.34637284
CHIAPAS,2012-04,5038912,vieja,60,14.28879885
CHIHUAHUA,2012-04,3592201,vieja,224,74.82877489
CIUDAD DE MÉXICO,2012-04,8914454,vieja,55,7.403706385
NUEVO LEÓN,2012-04,4856914,vieja,134,33.1074423
OAXACA,2012-04,3925931,vieja,37,11.30941935
PUEBLA,2012-04,5990970,vieja,44,8.813263962
QUERÉTARO,2012-04,1907520,vieja,13,8.178158027
TABASCO,2012-04,2304749,vieja,10,5.206640723
TAMAULIPAS,2012-04,3412201,vieja,82,28.83769157
TLAXCALA,2012-04,1221579,vieja,2,1.964670316
VERACRUZ,2012-04,7847470,vieja,88,13.45656626
YUCATÁN,2012-04,2032105,vieja,7,4.133644669
QUINTANA ROO,2012-04,1432655,vieja,27,22.61535401
SAN LUIS POTOSÍ,2012-04,2670688,vieja,32,14.3783175
SINALOA,2012-04,2901212,vieja,107,44.25736554
SONORA,2012-04,2802732,vieja,40,17.12614692
AGUASCALIENTES,2012-04,1230783,vieja,3,2.924967277
BAJA CALIFORNIA,2012-04,3319752,vieja,44,15.90480253
BAJA CALIFORNIA SUR,2012-04,691621,vieja,1,1.735054314
CAMPECHE,2012-04,864041,vieja,6,8.332937905
ZACATECAS,2012-04,1534352,vieja,8,6.256712932
JALISCO,2012-05,7635742,vieja,103,16.18703199
MÉXICO,2012-05,16084741,vieja,175,13.05585213
MICHOACÁN,2012-05,4491678,vieja,62,16.56396563
MORELOS,2012-05,1848843,vieja,69,44.78476539
NAYARIT,2012-05,1153512,vieja,23,23.92692924
DURANGO,2012-05,1708131,vieja,47,33.01854483
GUANAJUATO,2012-05,5663724,vieja,81,17.16185323
GUERRERO,2012-05,3497336,vieja,206,70.68237081
HIDALGO,2012-05,2765773,vieja,4,1.735500347
COAHUILA,2012-05,2851313,vieja,73,30.72268811
COLIMA,2012-05,684300,vieja,32,56.11573871
CHIAPAS,2012-05,5044740,vieja,50,11.89357628
CHIHUAHUA,2012-05,3595497,vieja,199,66.41640919
CIUDAD DE MÉXICO,2012-05,8913060,vieja,68,9.155104981
NUEVO LEÓN,2012-05,4862879,vieja,138,34.05390099
OAXACA,2012-05,3928382,vieja,37,11.30236316
PUEBLA,2012-05,5996565,vieja,72,14.40824872
QUERÉTARO,2012-05,1910162,vieja,10,6.282189678
TABASCO,2012-05,2306910,vieja,12,6.242116077
TAMAULIPAS,2012-05,3415769,vieja,92,32.32068679
TLAXCALA,2012-05,1223108,vieja,2,1.962214293
VERACRUZ,2012-05,7853037,vieja,97,14.82229104
YUCATÁN,2012-05,2034400,vieja,6,3.539127015
QUINTANA ROO,2012-05,1436385,vieja,20,16.70861225
SAN LUIS POTOSÍ,2012-05,2672999,vieja,38,17.05949011
SINALOA,2012-05,2903481,vieja,129,53.31531358
SONORA,2012-05,2806269,vieja,54,23.09115769
AGUASCALIENTES,2012-05,1232352,vieja,5,4.868738802
BAJA CALIFORNIA,2012-05,3324188,vieja,54,19.49348232
BAJA CALIFORNIA SUR,2012-05,693515,vieja,2,3.460631709
CAMPECHE,2012-05,865208,vieja,9,12.48254755
ZACATECAS,2012-05,1535513,vieja,9,7.033480016
JALISCO,2012-06,7644152,vieja,100,15.69827497
MÉXICO,2012-06,16106485,vieja,188,14.0067805
MICHOACÁN,2012-06,4494730,vieja,60,16.01875975
MORELOS,2012-06,1850812,vieja,79,51.22076148
NAYARIT,2012-06,1155448,vieja,12,12.46269845
DURANGO,2012-06,1709741,vieja,56,39.30419871
GUANAJUATO,2012-06,5668181,vieja,87,18.41860731
GUERRERO,2012-06,3499507,vieja,172,58.97973629
HIDALGO,2012-06,2768973,vieja,10,4.333736732
COAHUILA,2012-06,2854334,vieja,98,41.20050422
COLIMA,2012-06,685394,vieja,18,31.51472
CHIAPAS,2012-06,5050568,vieja,59,14.01822528
CHIHUAHUA,2012-06,3598792,vieja,190,63.35459232
CIUDAD DE MÉXICO,2012-06,8911665,vieja,73,9.829812947
NUEVO LEÓN,2012-06,4868844,vieja,69,17.00609015
OAXACA,2012-06,3930833,vieja,41,12.516431
PUEBLA,2012-06,6002161,vieja,42,8.396975689
QUERÉTARO,2012-06,1912803,vieja,9,5.646164294
TABASCO,2012-06,2309071,vieja,13,6.755963762
TAMAULIPAS,2012-06,3419338,vieja,72,25.26804896
TLAXCALA,2012-06,1224637,vieja,3,2.939646605
VERACRUZ,2012-06,7858604,vieja,93,14.20099549
YUCATÁN,2012-06,2036694,vieja,4,2.356760515
QUINTANA ROO,2012-06,1440115,vieja,29,24.16473684
SAN LUIS POTOSÍ,2012-06,2675311,vieja,39,17.4932933
SINALOA,2012-06,2905750,vieja,122,50.38286157
SONORA,2012-06,2809806,vieja,48,20.49963592
AGUASCALIENTES,2012-06,1233921,vieja,3,2.917528756
BAJA CALIFORNIA,2012-06,3328623,vieja,50,18.02547179
BAJA CALIFORNIA SUR,2012-06,695409,vieja,0,0
CAMPECHE,2012-06,866375,vieja,10,13.85081518
ZACATECAS,2012-06,1536674,vieja,13,10.15179537
JALISCO,2012-07,7652331,vieja,94,14.74060649
MÉXICO,2012-07,16127962,vieja,175,13.02086401
MICHOACÁN,2012-07,4497662,vieja,52,13.87387492
MORELOS,2012-07,1852760,vieja,110,71.24506142
DURANGO,2012-07,1711298,vieja,46,32.25621721
GUANAJUATO,2012-07,5672475,vieja,98,20.73169119
GUERRERO,2012-07,3501536,vieja,204,69.91217569
HIDALGO,2012-07,2772086,vieja,7,3.030209019
COAHUILA,2012-07,2857315,vieja,72,30.23817815
COLIMA,2012-07,686469,vieja,25,43.7019006
CHIAPAS,2012-07,5056286,vieja,58,13.76504415
CHIHUAHUA,2012-07,3601890,vieja,150,49.97376377
CIUDAD DE MÉXICO,2012-07,8910171,vieja,56,7.541942798
NAYARIT,2012-07,1157361,vieja,25,25.92103933
NUEVO LEÓN,2012-07,4874862,vieja,88,21.66215167
OAXACA,2012-07,3933184,vieja,41,12.50894949
PUEBLA,2012-07,6007615,vieja,40,7.989859537
QUERÉTARO,2012-07,1915394,vieja,7,4.385520681
TABASCO,2012-07,2311190,vieja,16,8.307408737
TAMAULIPAS,2012-07,3422838,vieja,86,30.15041904
TLAXCALA,2012-07,1226145,vieja,9,8.808093659
VERACRUZ,2012-07,7863987,vieja,86,13.12311427
YUCATÁN,2012-07,2038982,vieja,2,1.177057963
QUINTANA ROO,2012-07,1443852,vieja,25,20.77775284
SAN LUIS POTOSÍ,2012-07,2677547,vieja,22,9.859770902
SINALOA,2012-07,2907964,vieja,93,38.37736643
SONORA,2012-07,2813277,vieja,35,14.92920889
AGUASCALIENTES,2012-07,1235450,vieja,2,1.942612004
BAJA CALIFORNIA,2012-07,3332994,vieja,51,18.36186924
BAJA CALIFORNIA SUR,2012-07,697308,vieja,3,5.162711456
CAMPECHE,2012-07,867535,vieja,4,5.53291798
ZACATECAS,2012-07,1537799,vieja,25,19.50840129
JALISCO,2012-08,7660510,vieja,93,14.56822065
MÉXICO,2012-08,16149439,vieja,183,13.59799557
MICHOACÁN,2012-08,4500594,vieja,67,17.86430858
MORELOS,2012-08,1854708,vieja,86,55.64218195
CIUDAD DE MÉXICO,2012-08,8908678,vieja,68,9.159608193
DURANGO,2012-08,1712856,vieja,43,30.12512435
GUANAJUATO,2012-08,5676769,vieja,100,21.13878511
GUERRERO,2012-08,3503566,vieja,225,77.06433959
HIDALGO,2012-08,2775200,vieja,11,4.756413952
COAHUILA,2012-08,2860296,vieja,68,28.52851593
COLIMA,2012-08,687544,vieja,25,43.63357109
CHIAPAS,2012-08,5062004,vieja,41,9.719470787
CHIHUAHUA,2012-08,3604988,vieja,172,57.25400473
NAYARIT,2012-08,1159274,vieja,19,19.66748154
NUEVO LEÓN,2012-08,4880880,vieja,166,40.81231253
OAXACA,2012-08,3935534,vieja,33,10.06216691
PUEBLA,2012-08,6013069,vieja,48,9.579135047
QUERÉTARO,2012-08,1917984,vieja,13,8.133540217
TABASCO,2012-08,2313308,vieja,5,2.593688346
TAMAULIPAS,2012-08,3426338,vieja,88,30.82007671
TLAXCALA,2012-08,1227653,vieja,4,3.909899621
VERACRUZ,2012-08,7869370,vieja,91,13.87658733
YUCATÁN,2012-08,2041270,vieja,1,0.587869317
QUINTANA ROO,2012-08,1447589,vieja,17,14.09239777
SAN LUIS POTOSÍ,2012-08,2679783,vieja,53,23.73326497
SINALOA,2012-08,2910177,vieja,78,32.16299215
SONORA,2012-08,2816749,vieja,53,22.57922165
AGUASCALIENTES,2012-08,1236978,vieja,2,1.940212356
BAJA CALIFORNIA,2012-08,3337366,vieja,37,13.30390494
BAJA CALIFORNIA SUR,2012-08,699207,vieja,2,3.432459915
CAMPECHE,2012-08,868696,vieja,4,5.525523313
ZACATECAS,2012-08,1538925,vieja,15,11.69647644
JALISCO,2012-09,7668690,vieja,100,15.64804419
MÉXICO,2012-09,16170916,vieja,131,9.721156179
MICHOACÁN,2012-09,4503526,vieja,79,21.05017269
MORELOS,2012-09,1856656,vieja,84,54.29115571
CIUDAD DE MÉXICO,2012-09,8907184,vieja,72,9.700035387
DURANGO,2012-09,1714413,vieja,46,32.19760933
GUANAJUATO,2012-09,5681063,vieja,56,11.82877219
GUERRERO,2012-09,3505595,vieja,208,71.20046668
HIDALGO,2012-09,2778313,vieja,9,3.887251004
COAHUILA,2012-09,2863278,vieja,68,28.49880452
COLIMA,2012-09,688619,vieja,20,34.85236393
CHIAPAS,2012-09,5067722,vieja,42,9.94529692
CHIHUAHUA,2012-09,3608086,vieja,137,45.56432413
NAYARIT,2012-09,1161187,vieja,25,25.83563199
NUEVO LEÓN,2012-09,4886898,vieja,111,27.25655416
OAXACA,2012-09,3937885,vieja,36,10.97035591
PUEBLA,2012-09,6018522,vieja,54,10.766763
QUERÉTARO,2012-09,1920574,vieja,9,5.623318862
TABASCO,2012-09,2315426,vieja,11,5.700894781
TAMAULIPAS,2012-09,3429838,vieja,129,45.133327
TLAXCALA,2012-09,1229161,vieja,5,4.881378436
VERACRUZ,2012-09,7874752,vieja,79,12.03847435
QUINTANA ROO,2012-09,1451326,vieja,14,11.57562119
SAN LUIS POTOSÍ,2012-09,2682020,vieja,41,18.34438222
SINALOA,2012-09,2912391,vieja,96,39.55512842
SONORA,2012-09,2820220,vieja,44,18.72194368
AGUASCALIENTES,2012-09,1238507,vieja,3,2.906725598
BAJA CALIFORNIA,2012-09,3341737,vieja,66,23.7002493
BAJA CALIFORNIA SUR,2012-09,701106,vieja,7,11.98106991
CAMPECHE,2012-09,869856,vieja,7,9.656770776
YUCATÁN,2012-09,2043558,vieja,7,4.110477902
ZACATECAS,2012-09,1540050,vieja,28,21.81747346
JALISCO,2012-10,7676869,vieja,100,15.63137263
MÉXICO,2012-10,16192393,vieja,189,14.00657704
MICHOACÁN,2012-10,4506458,vieja,63,16.77592468
MORELOS,2012-10,1858604,vieja,66,42.61262754
CIUDAD DE MÉXICO,2012-10,8905691,vieja,68,9.162680358
DURANGO,2012-10,1715970,vieja,29,20.28007483
GUANAJUATO,2012-10,5685357,vieja,62,13.08624947
GUERRERO,2012-10,3507624,vieja,192,65.68548966
HIDALGO,2012-10,2781427,vieja,5,2.157166088
COAHUILA,2012-10,2866259,vieja,61,25.53851554
COLIMA,2012-10,689694,vieja,27,46.97735517
CHIAPAS,2012-10,5073441,vieja,51,12.0628189
CHIHUAHUA,2012-10,3611183,vieja,104,34.559312
NAYARIT,2012-10,1163100,vieja,21,21.66623678
NUEVO LEÓN,2012-10,4892916,vieja,98,24.03474738
OAXACA,2012-10,3940236,vieja,29,8.831958289
PUEBLA,2012-10,6023976,vieja,55,10.95621895
QUERÉTARO,2012-10,1923165,vieja,13,8.111628487
TABASCO,2012-10,2317545,vieja,6,3.106735792
TAMAULIPAS,2012-10,3433337,vieja,83,29.00967776
TLAXCALA,2012-10,1230669,vieja,9,8.775714672
VERACRUZ,2012-10,7880135,vieja,73,11.11656082
QUINTANA ROO,2012-10,1455063,vieja,22,18.1435443
SAN LUIS POTOSÍ,2012-10,2684256,vieja,38,16.9879475
SINALOA,2012-10,2914604,vieja,89,36.64305683
SONORA,2012-10,2823691,vieja,28,11.89931901
AGUASCALIENTES,2012-10,1240036,vieja,3,2.903141522
BAJA CALIFORNIA,2012-10,3346109,vieja,49,17.57264931
BAJA CALIFORNIA SUR,2012-10,703005,vieja,3,5.120873962
CAMPECHE,2012-10,871016,vieja,2,2.755402886
YUCATÁN,2012-10,2045846,vieja,0,0
ZACATECAS,2012-10,1541176,vieja,24,18.68702861
JALISCO,2012-11,7685048,vieja,100,15.61473656
MÉXICO,2012-11,16213870,vieja,187,13.84000242
MICHOACÁN,2012-11,4509390,vieja,64,17.03112838
MORELOS,2012-11,1860552,vieja,75,48.37274099
CIUDAD DE MÉXICO,2012-11,8904197,vieja,50,6.738395388
DURANGO,2012-11,1717528,vieja,44,30.7418569
GUANAJUATO,2012-11,5689651,vieja,47,9.912734542
GUERRERO,2012-11,3509653,vieja,229,78.2983389
HIDALGO,2012-11,2784540,vieja,8,3.447607145
COAHUILA,2012-11,2869240,vieja,55,23.00260696
COLIMA,2012-11,690769,vieja,31,53.85302467
CHIAPAS,2012-11,5079159,vieja,40,9.45038342
CHIHUAHUA,2012-11,3614281,vieja,117,38.84590047
NAYARIT,2012-11,1165013,vieja,14,14.42043994
NUEVO LEÓN,2012-11,4898934,vieja,50,12.24756243
OAXACA,2012-11,3942587,vieja,42,12.78348455
PUEBLA,2012-11,6029430,vieja,44,8.757046686
QUERÉTARO,2012-11,1925756,vieja,14,8.723846635
TABASCO,2012-11,2319664,vieja,10,5.17316301
TAMAULIPAS,2012-11,3436837,vieja,81,28.28181843
TLAXCALA,2012-11,1232177,vieja,4,3.895544228
VERACRUZ,2012-11,7885518,vieja,74,11.26114987
QUINTANA ROO,2012-11,1458800,vieja,14,11.51631478
SAN LUIS POTOSÍ,2012-11,2686492,vieja,30,13.40037491
SINALOA,2012-11,2916818,vieja,108,44.43198033
SONORA,2012-11,2827163,vieja,46,19.52487352
AGUASCALIENTES,2012-11,1241564,vieja,7,6.765660087
BAJA CALIFORNIA,2012-11,3350480,vieja,46,16.47525131
BAJA CALIFORNIA SUR,2012-11,704904,vieja,2,3.40471894
CAMPECHE,2012-11,872177,vieja,5,6.879337566
YUCATÁN,2012-11,2048134,vieja,3,1.757697494
ZACATECAS,2012-11,1542301,vieja,17,13.22699006
JALISCO,2012-12,7693228,vieja,103,16.06607785
MÉXICO,2012-12,16235348,vieja,214,15.81733881
MICHOACÁN,2012-12,4512322,vieja,73,19.41350817
MORELOS,2012-12,1862500,vieja,63,40.59060403
CIUDAD DE MÉXICO,2012-12,8902704,vieja,76,10.24407865
DURANGO,2012-12,1719085,vieja,74,51.65538644
GUANAJUATO,2012-12,5693945,vieja,37,7.797757091
GUERRERO,2012-12,3511682,vieja,198,67.65988492
HIDALGO,2012-12,2787654,vieja,8,3.443755932
COAHUILA,2012-12,2872221,vieja,62,25.90329922
COLIMA,2012-12,691844,vieja,33,57.23833697
CHIAPAS,2012-12,5084877,vieja,44,10.383732
CHIHUAHUA,2012-12,3617379,vieja,112,37.15397253
NAYARIT,2012-12,1166926,vieja,12,12.34011411
NUEVO LEÓN,2012-12,4904952,vieja,89,21.77391338
OAXACA,2012-12,3944938,vieja,38,11.55911703
PUEBLA,2012-12,6034884,vieja,40,7.953756858
TABASCO,2012-12,2321782,vieja,7,3.617910725
TAMAULIPAS,2012-12,3440337,vieja,64,22.32339448
TLAXCALA,2012-12,1233686,vieja,9,8.754253513
VERACRUZ,2012-12,7890901,vieja,62,9.428581096
QUERÉTARO,2012-12,1928346,vieja,6,3.73376977
QUINTANA ROO,2012-12,1462538,vieja,17,13.94835553
SAN LUIS POTOSÍ,2012-12,2688728,vieja,43,19.19123095
SINALOA,2012-12,2919032,vieja,86,35.35418591
SONORA,2012-12,2830634,vieja,46,19.50093159
AGUASCALIENTES,2012-12,1243093,vieja,3,2.896002149
BAJA CALIFORNIA,2012-12,3354852,vieja,47,16.81147186
BAJA CALIFORNIA SUR,2012-12,706802,vieja,3,5.093364195
CAMPECHE,2012-12,873337,vieja,8,10.99232026
YUCATÁN,2012-12,2050422,vieja,0,0
ZACATECAS,2012-12,1543426,vieja,22,17.10480451
JALISCO,2013-01,7701407,vieja,99,15.42575272
MÉXICO,2013-01,16256825,vieja,158,11.66279393
MICHOACÁN,2013-01,4515254,vieja,48,12.75675743
MORELOS,2013-01,1864448,vieja,51,32.82472882
NAYARIT,2013-01,1168838,vieja,14,14.37324933
DURANGO,2013-01,1720642,vieja,52,36.26553345
GUANAJUATO,2013-01,5698239,vieja,37,7.791880965
GUERRERO,2013-01,3513712,vieja,152,51.91091359
HIDALGO,2013-01,2790767,vieja,18,7.73980773
COLIMA,2013-01,692920,vieja,30,51.95404953
